
Arrangement size profile
3773      ArrangeBySelf: Variable: name_in_scope::NameOccursInScope 539
3314      Arrange: global (name_in_scope::NameOccursInScope{.scope=(_2: ast::ScopeId), .name=((&(name_in_scope::NameOccurrence{.name=(_1: internment::Intern<string>), .file=(_0: ast::FileId)}: name_in_scope::NameOccurrence)): internment::Intern<name_in_scope::NameOccurrence>)}: name_in_scope::NameOccursInScope) /*join*/ 569
3314      Arrange: global (name_in_scope::NameOccursInScope{.scope=(_0: ast::ScopeId), .name=((&(name_in_scope::NameOccurrence{.name=(_1: internment::Intern<string>), .file=(_2: ast::FileId)}: name_in_scope::NameOccurrence)): internment::Intern<name_in_scope::NameOccurrence>)}: name_in_scope::NameOccursInScope) /*semijoin*/ 565
3314      Arrange: local (name_in_scope::NameOccursInScope{.scope=(_0: ast::ScopeId), .name=((&(name_in_scope::NameOccurrence{.name=(_: internment::Intern<string>), .file=(_1: ast::FileId)}: name_in_scope::NameOccurrence)): internment::Intern<name_in_scope::NameOccurrence>)}: name_in_scope::NameOccursInScope) /*join*/ 490
3276      Arrange: (inputs::Expression{.id=_0, .file=_1, .kind=(_: ast::ExprKind), .scope=(_: ast::ScopeId), .span=(_: ast::Span)}: inputs::Expression) /*join*/ 155
3276      Arrange: (inputs::Expression{.id=(_0: ast::ExprId), .file=(_1: ast::FileId), .kind=(_: ast::ExprKind), .scope=(_: ast::ScopeId), .span=(_: ast::Span)}: inputs::Expression) /*join*/ 135
3276      Arrange: (inputs::Expression{.id=(_: ast::ExprId), .file=_0, .kind=(_: ast::ExprKind), .scope=(_: ast::ScopeId), .span=(_: ast::Span)}: inputs::Expression) /*join*/ 151
3276      Arrange: (inputs::Expression{.id=(_: ast::ExprId), .file=_1, .kind=(_: ast::ExprKind), .scope=(_: ast::ScopeId), .span=_0}: inputs::Expression) /*join*/ 159
3201      ArrangeByKey: arrange name_in_scope::NameOccursInScope(.scope=child, .name=(&name_in_scope::NameOccurrence{.name=name, .file=file})), not name_in_scope::ScopeOfDeclName(.file=file, .name=name, .scope=child, .declared=_) by (child, file) 1460
3201      ArrangeByKey: arrange name_in_scope::NameOccursInScope(.scope=child, .name=(&name_in_scope::NameOccurrence{.name=name, .file=file})), not name_in_scope::ScopeOfDeclName(.file=file, .name=name, .scope=child, .declared=_), inputs::InputScope(.parent=parent, .child=child, .file=file) by (file, name, parent) 1467
2420      ArrangeBySelf: Variable: outputs::no_shadow::DeclarationInDescendent 1326
2286      Arrange: local (outputs::no_shadow::DeclarationInDescendent{.file=(_1: ast::FileId), .scope=(_0: ast::ScopeId), .name=(_: internment::Intern<string>), .id=(_: ast::AnyId)}: outputs::no_shadow::DeclarationInDescendent) /*join*/ 1298
2260      ArrangeBySelf: Variable: name_in_scope::NameInScope 1480
2260      Arrange: local (name_in_scope::NameInScope{.file=(_0: ast::FileId), .name=(_1: internment::Intern<string>), .scope=(_2: ast::ScopeId), .declared=(_: ast::AnyId)}: name_in_scope::NameInScope) /*join*/ 1419
1582      ArrangeByKey: arrange scopes::FunctionLevelScope(.scope=parent, .nearest=scope, .file=file, .id=id), inputs::InputScope(.parent=parent, .child=child, .file=file) by (child, file) 779
1543      ArrangeBySelf: Variable: scopes::FunctionLevelScope 797
1542      Arrange: local (scopes::FunctionLevelScope{.scope=(_0: ast::ScopeId), .nearest=(_: ast::ScopeId), .file=(_1: ast::FileId), .id=(_: ast::AnyId)}: scopes::FunctionLevelScope) /*join*/ 690
